Title,Content,Category,Type,Link
UC Report 2,February 2006 report on Southern California woody biomass for USFS,Other,Southern California,https://drive.google.com/file/d/12T9dkFqxdvxnADK52SeZ9cIkRnj_GGYN/view?usp=drive_link
Fuel Availability Study for SCE (Shaver Lake) (August 2008),Fuel availability study for a wood waste fired generation facility sited within Southern California Edison forest land (redacted copy) (TSS Consultants),Other,Feasibility,https://drive.google.com/file/d/1wJl6pJBUdUUjMSEtXGNu8wANQvTUhcXR/view?usp=drive_link
Biomass Fuel Procurement Plan for Wood Waste Fired Generation (May 2009),"Fuel cost estimates for five-year projection of fuels sourced from the region tributary to the core fuel supply area, using 40% forestry wood waste. (Redacted copy) (TSS Consultants).",Other,Feasibility,https://drive.google.com/file/d/16HiOjG-SKmh-PyovyZm6NYsScuDTdJCF/view?usp=drive_link
Biomass Utilization Reduces the Wildfire Fuel Hazard in Southern California,Information for a poster presented at Forest Products Society conference June 2006,Other,Southern California,https://drive.google.com/file/d/1faEGAcw8c5veP76dHjyAZrG_XLz2HX-Y/view?usp=drive_link
UC Report 1,June 2005 report on Southern California woody biomass for USFS,Other,Southern California,https://drive.google.com/file/d/1GggHMcD7qhHqG1NVR6Ze5EjwZjUL86gS/view?usp=drive_link
UC Report 3,June 2006 report on Southern California woody biomass for USFS,Other,Southern California,https://drive.google.com/file/d/1ffy0s7CdNPZKZ4m2Au_8s6bjy_Uvi0tS/view?usp=drive_link
USFS Report,May 2007 report to CDF,Other,Southern California,https://drive.google.com/file/d/1dv52MGEwCxlkwGUA1DJrkVvNkzncZ2mB/view?usp=drive_link
Biomass Heating for Public Buildings in Trinity & Modoc Counties (2010),"Pre-feasibility study of retrofitting public buildings to woody biomass heating systems in Trinity and Modoc counties. From a list of prioritized facilities, three potential retrofits for district heat systems were identified to go forward to a more in-depth feasibility study. (Northwest California RC&D Council)",Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/14Sr6KVYCvGYbDGlyBXGAXtCa4tvMEKhx/view?usp=drive_link
Programming and Trainning on a Williams Bale Press (August 2010),"Purchased by California Wood Shavings, the Williams Bale Press has been reprogrammed and operators trained to produce compressed bales of wood shavings for use as animal bedding. (California Wood Shavings)",Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/1VP9suS4jGHdzomHy5GXNHYA5J7Yyw9d_/view?usp=drive_link
Trinity River Lumber Opti-Buck and Jack Ladder Installation (2010),"Report documenting installation of an Opti-Buck and Jack Ladder Systems at Trinity River Lumber Company in Weaverville, CA. The equipment maximizes the efficiency of sawing small diameter logs by 3D scanning. Information obtained optimizes the cutting dimensions to give the best cuts to make for a particular log. (Northwest California RC&D Council)",Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/1r3sjFCUJvqb8LRk_IjMgB_8Kok7gyxRt/view?usp=drive_link
Dry Forest Mechanized Fuel Treatment Trials Report,"Report looking at costs, production, and impact of treatment of non-commercial forest biomass, especially in the dry forests of the Intermountain West. This project included fuels treatment trials in four locations throughout three states.",Other,,https://drive.google.com/file/d/1AEnb9QepF8GZbXBLBZcUDSsPLK04IYuw/view?usp=sharing
A Planning Guide for Small and Medium Size Wood Products Companies,"USDA Forest Service NE Area, 2nd Edition, July 2005",Other,,https://drive.google.com/file/d/1WIbkL0aLnFG6KbrklQd-dc89fRS__Ph9/view?usp=drive_link
Mechanized Forest Fuel Treatments:Analyzing Machine Efficiency within Variable Landscapes,Master's Thesis on Mastication Equipment Efficiency,Other,Thesis,https://drive.google.com/file/d/1HREfG6ARbUpYiMvROYfI_XyS_57jRBJm/view?usp=drive_link
